vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
800e-3,0,0,6,14e-9,0,136.263e-18,301.345e-3,2.5100e-3,-34.4816e-12,-47.9536e-18,408.207e-18,172.604e-18,172.604e-18,
0,0,0,10,14e-9,0,68.9193e-18,301.345e-3,148.332e-9,7.8772e-54,-15.4217e-21,204.161e-18,49.5806e-18,49.5806e-18,
20e-3,0,0,10,14e-9,0,70.2951e-18,301.345e-3,272.557e-9,-1.7900e-15,-28.4794e-21,206.939e-18,50.9694e-18,50.9694e-18,
40e-3,0,0,10,14e-9,0,71.6567e-18,301.345e-3,500.667e-9,-2.0016e-15,-52.5687e-21,209.71e-18,52.3551e-18,52.3551e-18,
60e-3,0,0,10,14e-9,0,73.0054e-18,301.345e-3,919.183e-9,-1.3090e-15,-96.9416e-21,212.497e-18,53.7483e-18,53.7483e-18,
80e-3,0,0,10,14e-9,0,74.3598e-18,301.345e-3,1.6858e-6,-3.3338e-15,-178.442e-21,215.368e-18,55.1841e-18,55.1841e-18,
100e-3,0,0,10,14e-9,0,75.7677e-18,301.345e-3,3.0863e-6,-8.2830e-15,-327.342e-21,218.482e-18,56.7409e-18,56.7409e-18,
120e-3,0,0,10,14e-9,0,77.3256e-18,301.345e-3,5.6316e-6,-15.6881e-15,-596.766e-21,222.136e-18,58.5682e-18,58.5682e-18,
140e-3,0,0,10,14e-9,0,79.2042e-18,301.345e-3,10.216e-6,-26.0479e-15,-1.0759e-18,226.852e-18,60.926e-18,60.926e-18,
160e-3,0,0,10,14e-9,0,81.6721e-18,301.345e-3,18.3445e-6,-40.2939e-15,-1.9036e-18,233.443e-18,64.2216e-18,64.2216e-18,
180e-3,0,0,10,14e-9,0,85.0893e-18,301.345e-3,32.3885e-6,-59.9775e-15,-3.2658e-18,243.002e-18,69.0011e-18,69.0011e-18,
200e-3,0,0,10,14e-9,0,89.8126e-18,301.345e-3,55.6991e-6,-87.5416e-15,-5.3512e-18,256.62e-18,75.8098e-18,75.8098e-18,
220e-3,0,0,10,14e-9,0,95.9918e-18,301.345e-3,92.2814e-6,-126.494e-15,-8.2486e-18,274.773e-18,84.8863e-18,84.8863e-18,
240e-3,0,0,10,14e-9,0,103.387e-18,301.345e-3,145.865e-6,-181.287e-15,-11.8521e-18,296.77e-18,95.885e-18,95.885e-18,
260e-3,0,0,10,14e-9,0,111.436e-18,301.345e-3,218.779e-6,-256.921e-15,-15.889e-18,320.942e-18,107.971e-18,107.971e-18,
280e-3,0,0,10,14e-9,0,119.552e-18,301.345e-3,311.394e-6,-358.562e-15,-20.0636e-18,345.524e-18,120.262e-18,120.262e-18,
300e-3,0,0,10,14e-9,0,127.353e-18,301.345e-3,422.392e-6,-491.459e-15,-24.174e-18,369.345e-18,132.173e-18,132.173e-18,
320e-3,0,0,10,14e-9,0,134.682e-18,301.345e-3,549.445e-6,-661.128e-15,-28.1269e-18,391.91e-18,143.455e-18,143.455e-18,
