vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
500e-3,0,0,10,14e-9,0,193.692e-18,359.81e-3,1.0407e-3,-5.1656e-12,-56.053e-18,568.422e-18,230.211e-18,230.211e-18
520e-3,0,0,10,14e-9,0,199.311e-18,359.81e-3,1.1689e-3,-6.3658e-12,-59.3378e-18,586.229e-18,239.114e-18,239.114e-18
540e-3,0,0,10,14e-9,0,204.634e-18,359.81e-3,1.2971e-3,-7.7736e-12,-62.448e-18,603.094e-18,247.547e-18,247.547e-18
560e-3,0,0,10,14e-9,0,209.675e-18,359.81e-3,1.4243e-3,-9.4180e-12,-65.3862e-18,619.053e-18,255.526e-18,255.526e-18
580e-3,0,0,10,14e-9,0,214.447e-18,359.81e-3,1.5500e-3,-11.3314e-12,-68.155e-18,634.135e-18,263.067e-18,263.067e-18
600e-3,0,0,10,14e-9,0,218.961e-18,359.81e-3,1.6735e-3,-13.5503e-12,-70.7577e-18,648.369e-18,270.184e-18,270.184e-18
620e-3,0,0,10,14e-9,0,223.228e-18,359.81e-3,1.7945e-3,-16.116e-12,-73.1983e-18,661.784e-18,276.892e-18,276.892e-18
640e-3,0,0,10,14e-9,0,227.258e-18,359.81e-3,1.9127e-3,-19.0748e-12,-75.4819e-18,674.41e-18,283.205e-18,283.205e-18
660e-3,0,0,10,14e-9,0,231.06e-18,359.81e-3,2.0278e-3,-22.4786e-12,-77.614e-18,686.279e-18,289.139e-18,289.139e-18
680e-3,0,0,10,14e-9,0,234.645e-18,359.81e-3,2.1398e-3,-26.386e-12,-79.6006e-18,697.423e-18,294.711e-18,294.711e-18
700e-3,0,0,10,14e-9,0,238.023e-18,359.81e-3,2.2485e-3,-30.8623e-12,-81.4486e-18,707.875e-18,299.937e-18,299.937e-18
720e-3,0,0,10,14e-9,0,241.205e-18,359.81e-3,2.3540e-3,-35.9812e-12,-83.1647e-18,717.67e-18,304.835e-18,304.835e-18
740e-3,0,0,10,14e-9,0,244.199e-18,359.81e-3,2.4562e-3,-41.8248e-12,-84.7559e-18,726.842e-18,309.421e-18,309.421e-18
760e-3,0,0,10,14e-9,0,247.017e-18,359.81e-3,2.5553e-3,-48.4854e-12,-86.2294e-18,735.425e-18,313.712e-18,313.712e-18
780e-3,0,0,10,14e-9,0,249.669e-18,359.81e-3,2.6511e-3,-56.0661e-12,-87.5923e-18,743.453e-18,317.726e-18,317.726e-18
800e-3,0,0,10,14e-9,0,252.162e-18,359.81e-3,2.7439e-3,-64.6823e-12,-88.8513e-18,750.958e-18,321.479e-18,321.479e-18
0,0,0,20,14e-9,0,140.629e-18,358.331e-3,10.6428e-9,2.5688e-54,-2.1020e-21,419.125e-18,101.562e-18,101.562e-18
20e-3,0,0,20,14e-9,0,143.739e-18,358.331e-3,20.7256e-9,-8.1347e-15,-4.1134e-21,425.348e-18,104.674e-18,104.674e-18
40e-3,0,0,20,14e-9,0,146.914e-18,358.331e-3,40.3599e-9,-13.0719e-15,-8.0503e-21,431.707e-18,107.853e-18,107.853e-18
60e-3,0,0,20,14e-9,0,150.125e-18,358.331e-3,78.5913e-9,-15.1328e-15,-15.7556e-21,438.144e-18,111.072e-18,111.072e-18
80e-3,0,0,20,14e-9,0,153.34e-18,358.331e-3,153.025e-9,-14.6345e-15,-30.8344e-21,444.604e-18,114.302e-18,114.302e-18
100e-3,0,0,20,14e-9,0,156.531e-18,358.331e-3,297.905e-9,-11.9255e-15,-60.3315e-21,451.045e-18,117.523e-18,117.523e-18
120e-3,0,0,20,14e-9,0,159.684e-18,358.331e-3,579.768e-9,-7.5742e-15,-117.984e-21,457.465e-18,120.732e-18,120.732e-18
140e-3,0,0,20,14e-9,0,162.811e-18,358.331e-3,1.1276e-6,-5.0224e-15,-230.466e-21,463.945e-18,123.973e-18,123.973e-18
160e-3,0,0,20,14e-9,0,165.983e-18,358.331e-3,2.1905e-6,-13.3998e-15,-449.146e-21,470.726e-18,127.363e-18,127.363e-18
180e-3,0,0,20,14e-9,0,169.365e-18,358.331e-3,4.2454e-6,-28.0578e-15,-871.364e-21,478.334e-18,131.167e-18,131.167e-18
200e-3,0,0,20,14e-9,0,173.292e-18,358.331e-3,8.1919e-6,-49.1358e-15,-1.6758e-18,487.797e-18,135.899e-18,135.899e-18
220e-3,0,0,20,14e-9,0,178.36e-18,358.331e-3,15.6774e-6,-79.7129e-15,-3.1717e-18,500.925e-18,142.462e-18,142.462e-18
240e-3,0,0,20,14e-9,0,185.49e-18,358.331e-3,29.5623e-6,-125.651e-15,-5.8346e-18,520.511e-18,152.256e-18,152.256e-18
260e-3,0,0,20,14e-9,0,195.798e-18,358.331e-3,54.3677e-6,-197.056e-15,-10.247e-18,549.952e-18,166.976e-18,166.976e-18
280e-3,0,0,20,14e-9,0,210.051e-18,358.331e-3,96.2214e-6,-309.456e-15,-16.8287e-18,591.621e-18,187.81e-18,187.81e-18
300e-3,0,0,20,14e-9,0,227.903e-18,358.331e-3,161.699e-6,-483.23e-15,-25.4492e-18,644.565e-18,214.283e-18,214.283e-18
320e-3,0,0,20,14e-9,0,247.807e-18,358.331e-3,255.804e-6,-740.809e-15,-35.3621e-18,704.201e-18,244.1e-18,244.1e-18
340e-3,0,0,20,14e-9,0,267.941e-18,358.331e-3,380.516e-6,-1.1037e-12,-45.654e-18,765.051e-18,274.526e-18,274.526e-18
360e-3,0,0,20,14e-9,0,287.109e-18,358.331e-3,534.861e-6,-1.5920e-12,-55.7e-18,823.48e-18,303.74e-18,303.74e-18
380e-3,0,0,20,14e-9,0,304.878e-18,358.331e-3,715.913e-6,-2.2252e-12,-65.2408e-18,878.1e-18,331.05e-18,331.05e-18
400e-3,0,0,20,14e-9,0,321.261e-18,358.331e-3,919.803e-6,-3.0243e-12,-74.237e-18,928.859e-18,356.429e-18,356.429e-18
420e-3,0,0,20,14e-9,0,336.432e-18,358.331e-3,1.1423e-3,-4.0128e-12,-82.7312e-18,976.188e-18,380.094e-18,380.094e-18
440e-3,0,0,20,14e-9,0,350.577e-18,358.331e-3,1.3795e-3,-5.2174e-12,-90.7775e-18,1.0205e-15,402.286e-18,402.286e-18
460e-3,0,0,20,14e-9,0,363.85e-18,358.331e-3,1.6274e-3,-6.6690e-12,-98.4179e-18,1.0624e-15,423.199e-18,423.199e-18
480e-3,0,0,20,14e-9,0,376.36e-18,358.331e-3,1.8827e-3,-8.4025e-12,-105.68e-18,1.1019e-15,442.971e-18,442.971e-18
500e-3,0,0,20,14e-9,0,388.186e-18,358.331e-3,2.1424e-3,-10.4581e-12,-112.578e-18,1.1393e-15,461.696e-18,461.696e-18
520e-3,0,0,20,14e-9,0,399.383e-18,358.331e-3,2.4039e-3,-12.8809e-12,-119.123e-18,1.1748e-15,479.436e-18,479.436e-18
