vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
340e-3,0,220e-3,2,14e-9,37.8741e-6,42.1793e-18,-359.518e-3,2.2514e-6,-1.6882e-6,-5.1089e-18,66.3198e-18,19.4198e-18,37.7801e-18
360e-3,0,220e-3,2,14e-9,51.7006e-6,42.688e-18,-359.518e-3,3.3734e-6,-2.5808e-6,-6.3693e-18,70.4338e-18,19.9528e-18,41.361e-18
380e-3,0,220e-3,2,14e-9,67.1833e-6,43.2385e-18,-359.518e-3,4.8572e-6,-3.7673e-6,-7.6068e-18,74.3852e-18,20.5488e-18,44.7164e-18
400e-3,0,220e-3,2,14e-9,83.7469e-6,43.8332e-18,-359.518e-3,6.7619e-6,-5.2753e-6,-8.8291e-18,78.199e-18,21.214e-18,47.865e-18
420e-3,0,220e-3,2,14e-9,100.781e-6,44.478e-18,-359.518e-3,9.1559e-6,-7.1203e-6,-10.066e-18,81.9578e-18,21.9599e-18,50.8779e-18
440e-3,0,220e-3,2,14e-9,117.672e-6,45.1809e-18,-359.518e-3,12.1218e-6,-9.3056e-6,-11.3443e-18,85.7478e-18,22.8023e-18,53.8255e-18
460e-3,0,220e-3,2,14e-9,133.842e-6,45.949e-18,-359.518e-3,15.7562e-6,-11.8224e-6,-12.6666e-18,89.6138e-18,23.7557e-18,56.7381e-18
480e-3,0,220e-3,2,14e-9,148.803e-6,46.7838e-18,-359.518e-3,20.1629e-6,-14.6512e-6,-14.0024e-18,93.537e-18,24.8259e-18,59.5911e-18
500e-3,0,220e-3,2,14e-9,162.2e-6,47.679e-18,-359.518e-3,25.4377e-6,-17.7641e-6,-15.3004e-18,97.4491e-18,26.0066e-18,62.3225e-18
520e-3,0,220e-3,2,14e-9,173.822e-6,48.6238e-18,-359.518e-3,31.6542e-6,-21.1273e-6,-16.5105e-18,101.269e-18,27.2824e-18,64.867e-18
540e-3,0,220e-3,2,14e-9,183.588e-6,49.6061e-18,-359.518e-3,38.8549e-6,-24.7045e-6,-17.5989e-18,104.936e-18,28.6353e-18,67.1804e-18
560e-3,0,220e-3,2,14e-9,191.506e-6,50.6157e-18,-359.518e-3,47.0487e-6,-28.4585e-6,-18.551e-18,108.414e-18,30.0487e-18,69.2452e-18
580e-3,0,220e-3,2,14e-9,197.65e-6,51.6448e-18,-359.518e-3,56.2151e-6,-32.3529e-6,-19.366e-18,111.693e-18,31.5088e-18,71.0644e-18
600e-3,0,220e-3,2,14e-9,202.128e-6,52.6871e-18,-359.518e-3,66.3081e-6,-36.3534e-6,-20.052e-18,114.778e-18,33.0043e-18,72.6533e-18
620e-3,0,220e-3,2,14e-9,205.068e-6,53.7373e-18,-359.518e-3,77.2623e-6,-40.4278e-6,-20.621e-18,117.678e-18,34.5255e-18,74.0328e-18
640e-3,0,220e-3,2,14e-9,206.609e-6,54.7909e-18,-359.518e-3,88.9969e-6,-44.5468e-6,-21.0864e-18,120.41e-18,36.0635e-18,75.2263e-18
660e-3,0,220e-3,2,14e-9,206.895e-6,55.8434e-18,-359.518e-3,101.421e-6,-48.6838e-6,-21.4619e-18,122.986e-18,37.6099e-18,76.2565e-18
680e-3,0,220e-3,2,14e-9,206.067e-6,56.8906e-18,-359.518e-3,114.437e-6,-52.8152e-6,-21.7604e-18,125.422e-18,39.1569e-18,77.1453e-18
700e-3,0,220e-3,2,14e-9,204.265e-6,57.9281e-18,-359.518e-3,127.946e-6,-56.92e-6,-21.9937e-18,127.73e-18,40.6968e-18,77.9127e-18
720e-3,0,220e-3,2,14e-9,201.62e-6,58.952e-18,-359.518e-3,141.847e-6,-60.9801e-6,-22.1726e-18,129.919e-18,42.2225e-18,78.5767e-18
740e-3,0,220e-3,2,14e-9,198.257e-6,59.9584e-18,-359.518e-3,156.044e-6,-64.98e-6,-22.3068e-18,132.001e-18,43.7271e-18,79.1537e-18
760e-3,0,220e-3,2,14e-9,194.293e-6,60.9439e-18,-359.518e-3,170.446e-6,-68.9064e-6,-22.4049e-18,133.983e-18,45.205e-18,79.6579e-18
780e-3,0,220e-3,2,14e-9,189.832e-6,61.9055e-18,-359.518e-3,184.969e-6,-72.7484e-6,-22.4741e-18,135.873e-18,46.6508e-18,80.1018e-18
800e-3,0,220e-3,2,14e-9,184.971e-6,62.8406e-18,-359.518e-3,199.535e-6,-76.4971e-6,-22.5209e-18,137.676e-18,48.0602e-18,80.4963e-18
0,0,220e-3,6,14e-9,4.5312e-9,112.529e-18,-354.135e-3,204.218e-12,-136.874e-12,-746.106e-24,123.399e-18,44.4044e-18,51.6345e-18
20e-3,0,220e-3,6,14e-9,8.7860e-9,112.988e-18,-354.135e-3,395.979e-12,-265.385e-12,-1.4611e-21,124.794e-18,44.8638e-18,52.5702e-18
