vgs,vds,vsb,fins,length,id,gm,gds,cdd,cgg
0.34,0.06,0.0,2.0,1.0,1.105e-06,2.4553027962266278e-05,8.019e-06,2.1199438419840462e-17,6.794324520593013e-17
0.36,0.06,0.0,2.0,1.0,1.674e-06,3.243916531829087e-05,1.349e-05,2.2743241367831845e-17,7.34500062369097e-17
0.38,0.06,0.0,2.0,1.0,2.402e-06,4.024020655625787e-05,2.138e-05,2.4509861236151883e-17,7.903634473943523e-17
0.4,0.06,0.0,2.0,1.0,3.279e-06,4.7349006453672906e-05,3.191e-05,2.634014308170868e-17,8.447944379317806e-17
0.42,0.06,0.0,2.0,1.0,4.29e-06,5.356232474472399e-05,4.501e-05,2.8154509432956286e-17,8.968381043228303e-17
0.44,0.06,0.0,2.0,1.0,5.414e-06,5.864997112226423e-05,6.046e-05,2.988929831265794e-17,9.46016981738226e-17
0.46,0.06,0.0,2.0,1.0,6.629e-06,6.268610740117102e-05,7.793e-05,3.151267873219528e-17,9.923310701779676e-17
0.48,0.06,0.0,2.0,1.0,7.915e-06,6.575399606824547e-05,9.707e-05,3.3056481680186664e-17,1.0359395245851468e-16
0.5,0.06,0.0,2.0,1.0,9.252e-06,6.774630512103962e-05,0.0001175,3.448887616801372e-17,1.0771606548459476e-16
0.52,0.06,0.0,2.0,1.0,1.062e-05,6.900962112410875e-05,0.0001389,3.584169318429483e-17,1.1161536159034622e-16
0.54,0.06,0.0,2.0,1.0,1.201e-05,6.991436870000416e-05,0.000161,3.711493272902999e-17,1.153077562700782e-16
0.56,0.06,0.0,2.0,1.0,1.341e-05,6.983162151202934e-05,0.0001836,3.830859480221921e-17,1.1880916501809988e-16
0.58,0.06,0.0,2.0,1.0,1.48e-05,6.925834364947821e-05,0.0002063,3.945451039248086e-17,1.2210367234010212e-16
0.6,0.06,0.0,2.0,1.0,1.618e-05,6.863460308886506e-05,0.000229,4.0520848511196555e-17,1.2523902471901245e-16
0.62,0.06,0.0,2.0,1.0,1.754e-05,6.720244239266114e-05,0.0002516,4.153944014698469e-17,1.2818339116621252e-16
0.64,0.06,0.0,2.0,1.0,1.887e-05,6.60556273404842e-05,0.0002739,4.249436980553606e-17,1.309526871760115e-16
0.66,0.06,0.0,2.0,1.0,2.018e-05,6.457464744419699e-05,0.0002959,4.340155298115986e-17,1.3357874373702777e-16
0.68,0.06,0.0,2.0,1.0,2.145e-05,6.264538208153839e-05,0.0003174,4.42609896738561e-17,1.3602972986064295e-16
0.7,0.06,0.0,2.0,1.0,2.269e-05,6.134422503087134e-05,0.0003385,4.5072679883624764e-17,1.3833747653547543e-16
0.72,0.06,0.0,2.0,1.0,2.39e-05,5.947731699377316e-05,0.0003591,4.583662361046586e-17,1.405019837615252e-16
0.74,0.06,0.0,2.0,1.0,2.507e-05,5.774650699402908e-05,0.000379,4.655282085437939e-17,1.4253916703310145e-16
0.76,0.06,0.0,2.0,1.0,2.621e-05,5.603665503010642e-05,0.0003985,4.723718710967454e-17,1.4443311085589502e-16
0.78,0.06,0.0,2.0,1.0,2.731e-05,5.410687288554565e-05,0.0004173,4.7873806882042125e-17,1.4621564621852426e-16
0.8,0.06,0.0,2.0,1.0,2.838e-05,5.304975369710634e-05,0.0004356,4.847859566579132e-17,1.4788677312098917e-16
0.0,0.08,0.0,2.0,1.0,2.319e-11,8.634762347814108e-10,6.502e-11,1.3542494107689374e-17,4.077549642014359e-17
0.02,0.08,0.0,2.0,1.0,4.536e-11,1.4984174619563607e-09,1.27e-10,1.380669131322192e-17,4.1348454215274406e-17
0.04,0.08,0.0,2.0,1.0,8.872e-11,2.978225896918116e-09,2.484e-10,1.408362091420182e-17,4.1953242999023614e-17
0.06,0.08,0.0,2.0,1.0,1.735e-10,5.8120809519723935e-09,4.857e-10,1.4374874460059988e-17,4.255803178277282e-17
0.08,0.08,0.0,2.0,1.0,3.394e-10,1.1380146883672638e-08,9.501e-10,1.467567730250367e-17,4.3178736060831204e-17
0.1,0.08,0.0,2.0,1.0,6.639e-10,2.223648901919104e-08,1.858e-09,1.4987620990963786e-17,4.381535583319879e-17
0.12,0.08,0.0,2.0,1.0,1.298e-09,4.348182487731082e-08,3.635e-09,1.5304339327716656e-17,4.445197560556637e-17
0.14,0.08,0.0,2.0,1.0,2.538e-09,8.498613728827272e-08,7.109e-09,1.5625832312762286e-17,4.5104510872243137e-17
0.16,0.08,0.0,2.0,1.0,4.959e-09,1.6579136538068213e-07,1.39e-08,1.5947325297807912e-17,4.575704613891991e-17
0.18,0.08,0.0,2.0,1.0,9.676e-09,3.2267930286144514e-07,2.717e-08,1.6265635183991706e-17,4.6441412394215066e-17
0.2,0.08,0.0,2.0,1.0,1.884e-08,6.258911223221391e-07,5.306e-08,1.6583945070175496e-17,4.722127161536535e-17
0.22,0.08,0.0,2.0,1.0,3.653e-08,1.2023208566830238e-06,1.035e-07,1.6886339462050097e-17,4.817620127391672e-17
0.24,0.08,0.0,2.0,1.0,7.026e-08,2.2786584761632004e-06,2.012e-07,1.7204649348233887e-17,4.9465356312961075e-17
0.26,0.08,0.0,2.0,1.0,1.333e-07,4.1999328124241605e-06,3.893e-07,1.753887472872687e-17,5.129563815851787e-17
0.28,0.08,0.0,2.0,1.0,2.47e-07,7.434710071635358e-06,7.471e-07,1.7920846592147416e-17,5.3889863730915765e-17
0.3,0.08,0.0,2.0,1.0,4.424e-07,1.2428978000482222e-05,1.415e-06,1.841422691573229e-17,5.73276105017007e-17
